original_file,size_of_file,loss_in_data,retain_data,encrpyt_time,decrypt_time
5233 _1965_Aadhi-Raat-Ke-Baad--1965-_L.mp3,52512,0.0,100.0,4.429,10.063
5243 _1965_Aakash-Deep--1965-_Manna-De.mp3,180660,0.0,100.0,46.754,109.582
5332 _1965_Guide--1965-_SD-Burman_1965.mp3,157902,0.0,100.0,33.227,86.334
5408 _1965_Lutera--1965-_Laxmikant-Pya.mp3,167193,0.0,100.0,41.369,95.484
5634 _1966_Dulhan Ek Raat Ki (1966)_La.mp3,122406,0.0,100.0,22.203,51.348
5832 _1966_Teesri Kasam (1966)_Shankar.mp3,143808,0.0,100.0,32.75,69.862
5910 _1967_Aurat (1967)_Lata_1967 Aura.mp3,151794,0.0,100.0,30.283,77.417
5912 _1967_Aurat (1967)_Lata_1967 Aura.mp3,147984,0.0,100.0,28.0,73.462
5915 _1967_Aurat (1967)_Ravi_1967 Aura.mp3,55122,0.0,100.0,5.411,11.153
5916 _1967_Aurat (1967)_Ravi_1967 Aura.mp3,48441,0.0,100.0,3.894,8.721
5957 _1967_C.I.D 909 (1967)_OP Nayyar_.mp3,192510,0.0,100.0,45.313,120.068
6055 _1967_Nai Roshni (1967)_Rafi_1967.mp3,82005,0.0,100.0,9.425,23.194
6127 _1967_Upkar (1967)_Manna Dey_1967.mp3,93540,0.0,100.0,11.9,29.691
2510 _1957_Mirza Sahiban 1957__Sab gal.mp3,119497,0.0,100.0,18.627,47.546
2521 _1957_Miss India 1957__O mere saj.mp3,167163,0.0,100.0,34.749,91.166
2567 _1957_Nau Do Gyarah 1957__Nau dau.mp3,51987,0.0,100.0,4.375,9.927
2590 _1957_Naya Daur 1957__O udein jab.mp3,114659,0.0,100.0,17.244,43.93
2598 _1957_Naya Zamana 1957__Music 1_K.mp3,145418,0.0,100.0,26.648,69.326
2730 _1958_Bal Yogi Upmanyu 1958_925_0.mp3,163974,0.0,100.0,33.388,87.499
2873 _1958_Panchayat 1958__Mil ke bait.mp3,161302,0.0,100.0,32.445,85.039
2937 _1958_Raj Tilak 1958_2227_22 Maar.mp3,80796,0.0,100.0,9.232,22.485
2941 _1958_Raj Tilak 1958_2627_26 Jham.mp3,190256,0.0,100.0,44.499,117.017
"2951 Sadhana_1958-MohdRafi,Chorus-Tor.mp3",160810,0.0,100.0,32.199,84.23
2991 _1958_Sohni Mahiwal 1958_1318_13_.mp3,122601,0.0,100.0,19.491,49.969
3122 _1959_Chand Ki Duniya 1959_119_01.mp3,196032,0.0,100.0,46.917,124.456
3179 _1959_Dil Deke Dekho 1959__Rahi m.mp3,134082,0.0,100.0,23.009,59.458
3237 _1959_Insaan Jaag Utha 1959_824_0.mp3,186285,0.0,100.0,42.644,922.847
3238 _1959_Insaan Jaag Utha 1959_924_0.mp3,107078,0.0,100.0,15.604,38.911
3289 _1959_Kangan  1959__Mere bale ki_.mp3,161808,0.0,100.0,33.866,85.546
